epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.1841,2.52812,7.40762,1.76953,0.0019,0.48,0.00186,0.0006,1.73689,4.77107,1.48188,0.0003,0.0003,0.0003
2,49.7276,2.10367,7.60842,1.41777,0.00291,0.73333,0.00457,0.00179,1.68079,4.57714,1.33888,0.00055862,0.00055862,0.00055862
3,73.9276,2.22239,6.8296,1.44194,0.00296,0.74667,0.00529,0.00212,1.62446,4.32224,1.27319,0.00075388,0.00075388,0.00075388
4,98.4126,2.16897,5.91367,1.43779,0.00323,0.81333,0.00655,0.00248,1.56504,4.1666,1.22346,0.00088578,0.00088578,0.00088578
5,122.784,2.19724,4.82128,1.43872,0.00354,0.89333,0.05838,0.02628,1.68125,3.84026,1.23341,0.00095432,0.00095432,0.00095432
6,146.784,2.08517,5.00435,1.3415,0.54463,0.08,0.24856,0.12368,1.75097,3.85353,1.26766,0.0009595,0.0009595,0.0009595
7,171.604,2.12159,5.58354,1.35753,0.53426,0.4,0.40231,0.15948,1.78227,3.38565,1.2826,0.000812,0.000812,0.000812
8,196.192,2.09155,4.41848,1.41982,0.56018,0.53333,0.48542,0.19541,1.75579,3.04459,1.37069,0.000614,0.000614,0.000614
9,220.368,2.17654,4.89427,1.49363,0.60384,0.56,0.57036,0.26818,1.64829,2.91247,1.35474,0.000416,0.000416,0.000416
10,244.81,1.83871,3.85534,1.30488,0.66815,0.56,0.60665,0.28622,1.61691,2.72448,1.35036,0.000218,0.000218,0.000218
