                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                   2.66,                 10.353,                  1.865,                0.00111,                   0.28,                0.00073,                0.00017,                 2.0188,                 4.9865,                 1.6049,                 0.0003,                 0.0003,                 0.0003
                      1,                 2.4953,                 7.5052,                 1.6336,                0.00259,                0.65333,                0.00286,                0.00109,                 1.8605,                 4.6998,                 1.3995,             0.00055862,             0.00055862,             0.00055862
                      2,                 2.3327,                 7.0961,                  1.562,                0.00296,                0.74667,                0.00452,                0.00165,                 1.9365,                 4.5601,                 1.4285,             0.00075388,             0.00075388,             0.00075388
                      3,                 2.3357,                 6.5944,                 1.5764,                 0.0028,                0.70667,                0.00385,                0.00126,                 1.9943,                 4.4152,                 1.4826,             0.00088578,             0.00088578,             0.00088578
                      4,                 2.3571,                 6.3887,                 1.5339,                0.00286,                   0.72,                0.00396,                0.00133,                 1.9611,                  4.285,                 1.4931,             0.00095432,             0.00095432,             0.00095432
                      5,                 2.2076,                 5.1508,                  1.464,                0.00323,                0.81333,                0.00623,                0.00254,                 1.8532,                 4.1154,                 1.4843,              0.0009595,              0.0009595,              0.0009595
                      6,                 2.3541,                 8.5671,                 1.5493,                0.55876,                   0.12,                0.20946,                0.08074,                 1.7202,                 3.6358,                 1.4056,               0.000812,               0.000812,               0.000812
                      7,                 2.1725,                 5.5744,                 1.3895,                0.56196,                0.18667,                0.26368,                0.10567,                 1.7156,                 3.4266,                 1.3967,               0.000812,               0.000812,               0.000812
                      8,                 2.2876,                 5.9062,                 1.4679,                0.47246,                0.28666,                0.30115,                0.12507,                 1.7183,                 3.2846,                  1.398,               0.000614,               0.000614,               0.000614
                      9,                 2.1301,                 4.4648,                 1.4652,                0.45174,                0.37333,                0.32907,                0.15365,                 1.6771,                  3.085,                 1.3914,               0.000416,               0.000416,               0.000416
