epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.9845,2.06469,4.82558,1.63827,0.00139,0.33333,0.00136,0.00038,1.73903,4.88632,1.48279,0.00024,0.00024,0.00024
2,32.6332,2.0255,4.62789,1.42834,0.0025,0.6,0.00395,0.00174,1.63329,4.62771,1.32996,0.000485857,0.000485857,0.000485857
3,51.6589,1.77935,3.79217,1.33549,0.00306,0.73333,0.00485,0.00256,1.752,4.44705,1.24053,0.000717006,0.000717006,0.000717006
4,72.5152,1.98769,3.93647,1.46316,0.00361,0.86667,0.00586,0.00265,1.80362,4.27572,1.2599,0.000933446,0.000933446,0.000933446
5,93.6888,1.87602,3.04358,1.36612,0.00389,0.93333,0.0064,0.00255,1.75178,4.18333,1.27303,0.00113518,0.00113518,0.00113518
6,114.768,1.79316,3.07211,1.38777,0.00389,0.93333,0.0708,0.03485,1.79674,4.06382,1.31849,0.0013222,0.0013222,0.0013222
7,136.041,1.80532,3.27172,1.42492,0.00361,0.86667,0.00419,0.00168,1.79791,3.9955,1.37256,0.00149451,0.00149451,0.00149451
8,157.218,1.77521,3.07989,1.34234,0.00389,0.93333,0.34158,0.14642,1.84876,3.63254,1.38732,0.001604,0.001604,0.001604
9,178.252,1.9033,2.80963,1.47742,0.00389,0.93333,0.34158,0.14642,1.84876,3.63254,1.38732,0.00154743,0.00154743,0.00154743
10,199.678,1.78161,2.49462,1.34372,0.75351,0.20468,0.31774,0.13826,1.84591,3.22365,1.32805,0.00149086,0.00149086,0.00149086
11,222.29,1.66027,2.41657,1.28791,0.88878,0.33333,0.51375,0.1663,1.90924,3.1468,1.36216,0.00143429,0.00143429,0.00143429
12,243.403,1.68561,2.90016,1.3851,0.69847,0.4,0.57354,0.20502,1.92383,3.08512,1.44118,0.00137771,0.00137771,0.00137771
13,264.311,1.72856,2.25375,1.39235,0.79419,0.53333,0.63073,0.25854,1.79073,3.04332,1.43817,0.00132114,0.00132114,0.00132114
14,284.882,1.78766,2.26468,1.45912,0.71411,0.53333,0.66064,0.25753,1.84475,2.92928,1.45968,0.00126457,0.00126457,0.00126457
15,309.902,1.7354,2.21832,1.37127,0.71411,0.53333,0.66064,0.25753,1.84475,2.92928,1.45968,0.001208,0.001208,0.001208
16,332.059,1.57853,2.15961,1.33342,0.56055,0.8,0.61209,0.24958,1.77286,2.49291,1.48902,0.00115143,0.00115143,0.00115143
17,354.118,1.60875,2.26976,1.35951,0.67449,0.66667,0.74399,0.39521,1.61872,2.24364,1.3868,0.00109486,0.00109486,0.00109486
18,376.941,1.71648,2.11002,1.34332,0.72453,0.53333,0.71079,0.34249,1.55518,2.10742,1.36549,0.00103829,0.00103829,0.00103829
19,399.024,1.68479,2.07188,1.33102,0.51072,0.53333,0.59122,0.31574,1.53506,2.46415,1.32959,0.000981714,0.000981714,0.000981714
20,420.46,1.51245,1.8394,1.30299,0.51072,0.53333,0.59122,0.31574,1.53506,2.46415,1.32959,0.000925143,0.000925143,0.000925143
21,441.968,1.67892,1.95865,1.33498,0.50383,0.54201,0.58231,0.31655,1.54685,2.42866,1.34758,0.000868571,0.000868571,0.000868571
22,463.365,1.52738,1.90865,1.29794,0.62115,0.53333,0.67604,0.385,1.53364,2.19699,1.31601,0.000812,0.000812,0.000812
23,484.757,1.51066,2.28716,1.20373,0.75785,0.53333,0.67152,0.36559,1.53715,2.25006,1.29631,0.000755429,0.000755429,0.000755429
24,506.163,1.54875,1.88444,1.30675,0.64813,0.66667,0.6799,0.36524,1.52629,2.22546,1.28033,0.000698857,0.000698857,0.000698857
25,527.441,1.5477,1.76709,1.27797,0.64813,0.66667,0.6799,0.36524,1.52629,2.22546,1.28033,0.000642286,0.000642286,0.000642286
26,548.781,1.70031,3.92199,1.2541,0.84166,0.70994,0.78248,0.44768,1.47527,2.04631,1.27474,0.000585714,0.000585714,0.000585714
27,569.964,1.49079,3.13054,1.22828,0.90065,0.73333,0.82319,0.46856,1.4896,1.93828,1.2792,0.000529143,0.000529143,0.000529143
28,590.887,1.4121,2.62671,1.13332,0.91568,0.73333,0.86521,0.48421,1.53389,1.91231,1.29473,0.000472571,0.000472571,0.000472571
29,612.286,1.79777,3.14647,1.21867,0.9019,0.73333,0.87899,0.4742,1.54012,1.90444,1.30188,0.000416,0.000416,0.000416
30,633.091,1.56506,2.57256,1.27561,0.91923,0.75997,0.86995,0.49174,1.48964,1.86789,1.28272,0.000359429,0.000359429,0.000359429
31,654.052,1.56224,3.62985,1.14482,0.91923,0.75997,0.86995,0.49174,1.48964,1.86789,1.28272,0.000302857,0.000302857,0.000302857
32,675.522,1.70866,2.55943,1.3351,1,0.69944,0.8681,0.50284,1.46302,1.82956,1.26969,0.000246286,0.000246286,0.000246286
33,696.71,1.49657,2.29592,1.18938,0.79367,0.77047,0.86518,0.50093,1.44861,1.81921,1.26918,0.000189714,0.000189714,0.000189714
34,717.421,1.49838,2.27447,1.23691,0.79827,0.79192,0.85412,0.49702,1.43887,1.77899,1.26309,0.000133143,0.000133143,0.000133143
35,737.979,1.45349,2.37798,1.21384,0.85648,0.79597,0.8552,0.50353,1.43672,1.71582,1.25584,7.65714e-05,7.65714e-05,7.65714e-05
