epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.9955,2.78779,5.42914,1.9556,0.00083,0.2,0.00053,0.00022,1.88159,5.30661,1.59053,0.00024,0.00024,0.00024
2,36.1842,2.25753,4.74495,1.59806,0.00194,0.46667,0.00245,0.00113,1.91184,5.22164,1.51395,0.0004901,0.0004901,0.0004901
3,59.7673,2.374,4.29179,1.51009,0.00222,0.53333,0.00368,0.0017,2.02694,5.07831,1.52099,0.000729904,0.000729904,0.000729904
4,83.1322,2.48334,4.52658,1.62509,0.00222,0.53333,0.00288,0.00121,1.97804,4.86237,1.50555,0.000959412,0.000959412,0.000959412
5,106.901,2.26937,4.22947,1.58104,0.0025,0.6,0.00279,0.00106,2.11753,4.56394,1.48109,0.00117862,0.00117862,0.00117862
6,129.638,2.39861,3.73822,1.56142,0.00306,0.73333,0.00319,0.00139,2.02756,4.42881,1.44891,0.00138754,0.00138754,0.00138754
7,150.923,2.32854,3.63424,1.56068,0.58378,0.33333,0.32957,0.17406,2.13599,3.90257,1.52598,0.00158616,0.00158616,0.00158616
8,175.569,2.19182,3.91071,1.57533,0.00389,0.93333,0.00496,0.0019,2.09947,4.11434,1.46952,0.0017228,0.0017228,0.0017228
9,202.264,2.36821,3.81363,1.5138,0.00389,0.93333,0.00496,0.0019,2.09947,4.11434,1.46952,0.0016832,0.0016832,0.0016832
10,224.423,2.20969,3.5219,1.4904,0.00389,0.93333,0.00604,0.00224,2.04999,4.1364,1.46125,0.0016436,0.0016436,0.0016436
11,248.588,2.24384,3.43632,1.50751,0.1434,0.13333,0.05134,0.0254,2.24196,3.97366,1.49643,0.001604,0.001604,0.001604
12,277.823,2.24197,3.36864,1.49148,0.22509,0.2,0.14197,0.06489,2.25325,3.57403,1.44618,0.0015644,0.0015644,0.0015644
13,306.157,2.23776,3.32258,1.57513,0.27705,0.4,0.33705,0.14087,2.00897,3.07785,1.32056,0.0015248,0.0015248,0.0015248
14,335.903,2.14987,3.22786,1.54034,0.7819,0.47902,0.55883,0.26191,1.94885,2.84105,1.37558,0.0014852,0.0014852,0.0014852
15,369.164,2.09009,3.11737,1.46202,0.7819,0.47902,0.55883,0.26191,1.94885,2.84105,1.37558,0.0014456,0.0014456,0.0014456
16,394.439,2.20156,3.07923,1.51446,0.75239,0.4,0.59726,0.26103,1.99218,2.72028,1.51323,0.001406,0.001406,0.001406
17,421.376,2.05723,2.77003,1.5095,0.59924,0.53333,0.59841,0.26489,1.82268,2.90266,1.50777,0.0013664,0.0013664,0.0013664
18,446.989,2.12806,2.75004,1.47374,0.44938,0.53333,0.54962,0.24895,1.75362,2.72869,1.46237,0.0013268,0.0013268,0.0013268
19,471.553,2.10502,2.80484,1.53393,0.54441,0.6,0.62551,0.27842,1.6524,2.39823,1.39525,0.0012872,0.0012872,0.0012872
20,495.268,1.99801,2.56248,1.50504,0.54441,0.6,0.62551,0.27842,1.6524,2.39823,1.39525,0.0012476,0.0012476,0.0012476
21,519.656,2.17658,2.85119,1.57249,0.76832,0.73333,0.73113,0.30053,1.64231,2.21646,1.40101,0.001208,0.001208,0.001208
22,543.866,2.18533,2.72799,1.52365,0.5044,0.8,0.69851,0.3373,1.72638,2.09053,1.43661,0.0011684,0.0011684,0.0011684
23,567.047,2.01217,2.4773,1.37226,0.53769,0.69867,0.55973,0.26985,1.74478,2.43843,1.43777,0.0011288,0.0011288,0.0011288
24,589.612,2.18259,3.30787,1.52363,0.45518,0.7244,0.51124,0.26256,1.75093,2.38161,1.42694,0.0010892,0.0010892,0.0010892
25,612.907,1.96107,2.3857,1.35331,0.45518,0.7244,0.51124,0.26256,1.75093,2.38161,1.42694,0.0010496,0.0010496,0.0010496
26,637.479,2.03743,2.40833,1.38844,0.38977,0.53333,0.51414,0.26176,1.71947,2.25202,1.39922,0.00101,0.00101,0.00101
27,662.888,2.12823,2.83533,1.44001,0.45662,0.8,0.65838,0.3371,1.55807,1.97996,1.34344,0.0009704,0.0009704,0.0009704
28,686.037,1.91029,2.43758,1.4005,0.6999,0.66667,0.67867,0.35415,1.56539,2.04727,1.35495,0.0009308,0.0009308,0.0009308
29,709.599,1.8847,2.20725,1.36581,0.7144,0.66667,0.7769,0.41074,1.59656,2.08724,1.36882,0.0008912,0.0008912,0.0008912
30,733.868,1.7543,2.2646,1.34703,0.86783,0.66667,0.82685,0.43944,1.52647,1.89881,1.34501,0.0008516,0.0008516,0.0008516
31,756.663,1.80817,2.05721,1.36717,0.86783,0.66667,0.82685,0.43944,1.52647,1.89881,1.34501,0.000812,0.000812,0.000812
32,779.66,2.01973,2.37768,1.46433,0.85845,0.53333,0.77431,0.41164,1.60792,1.79411,1.34534,0.0007724,0.0007724,0.0007724
33,802.719,1.95822,2.11765,1.3787,1,0.52351,0.77703,0.33493,1.6874,2.41957,1.38244,0.0007328,0.0007328,0.0007328
34,829.243,1.90494,2.14146,1.40801,0.69437,0.66667,0.79421,0.33251,1.69565,2.42995,1.42494,0.0006932,0.0006932,0.0006932
35,855.046,1.95423,2.15158,1.48857,0.82514,0.73333,0.84971,0.39001,1.72412,2.03889,1.43375,0.0006536,0.0006536,0.0006536
36,880.322,1.94888,2.10394,1.46625,0.82514,0.73333,0.84971,0.39001,1.72412,2.03889,1.43375,0.000614,0.000614,0.000614
37,905.98,1.84522,2.07388,1.41795,0.7905,0.75566,0.85008,0.38552,1.67845,1.88489,1.40571,0.0005744,0.0005744,0.0005744
38,932.474,1.7427,2.03774,1.42753,0.7778,0.8,0.86268,0.40335,1.62859,1.82379,1.39942,0.0005348,0.0005348,0.0005348
39,959.268,1.85457,2.09345,1.41951,0.7813,0.8,0.8247,0.42554,1.56757,1.73253,1.3975,0.0004952,0.0004952,0.0004952
40,984.423,1.66287,2.0034,1.34001,0.67988,0.8,0.86456,0.45153,1.53574,1.66627,1.38283,0.0004556,0.0004556,0.0004556
41,1009.92,1.83737,3.79127,1.22208,0.67988,0.8,0.86456,0.45153,1.53574,1.66627,1.38283,0.000416,0.000416,0.000416
42,1035.9,1.69883,3.12406,1.20225,0.97081,0.53333,0.79136,0.42886,1.53783,1.70122,1.38426,0.0003764,0.0003764,0.0003764
43,1062.31,1.79717,2.62259,1.29694,0.85325,0.53333,0.78174,0.41449,1.56342,1.77306,1.39641,0.0003368,0.0003368,0.0003368
44,1085.23,1.8208,3.98906,1.25437,0.84617,0.53333,0.76384,0.41962,1.5752,1.85287,1.39612,0.0002972,0.0002972,0.0002972
45,1113.26,2.15736,3.86903,1.37112,0.73016,0.6,0.79334,0.43924,1.54777,1.91399,1.39393,0.0002576,0.0002576,0.0002576
46,1142.48,1.78074,4.06874,1.21024,0.8001,0.80054,0.84307,0.45699,1.50233,1.97661,1.36777,0.000218,0.000218,0.000218
47,1168.48,1.76974,2.73085,1.28056,0.8001,0.80054,0.84307,0.45699,1.50233,1.97661,1.36777,0.0001784,0.0001784,0.0001784
48,1195.53,1.76386,2.88405,1.26916,0.7436,0.8,0.84526,0.45356,1.48242,1.99253,1.35524,0.0001388,0.0001388,0.0001388
